location,Total Cases,Total Death,Mortality Rate,Population,Population_Density,median_age,aged_65_older,aged_70_older,gdp_per_capita,cardiovasc_death_rate,diabetes_prevalence,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,female_smokers,male_smokers,January,February,March,April,May,June,July,August,September,October,November,December,Total_Smokers,
Cuba,9668,24550,2.5393,11326616,110.408,43.1,14.738,9.719,0,190.968,8.27,85.198,5.2,78.8,0.777,1653,5153,0,0,183,1315,544,296,267,1424,1565,1290,1397,1387,6806,
Cyprus,16188,6266,0.3871,875899,127.657,37.3,13.416,8.563,32415.132,141.171,9.24,0,3.4,80.98,0.869,3173,8531,0,0,260,588,94,54,116,374,267,2611,6199,5625,11704,
Czechia,594145,439369,0.7395,10708982,137.176,43.3,19.027,11.58,32605.906,227.485,6.82,0,6.63,79.38,0.888,181214,227558,0,0,3305,4374,1586,2686,4620,8044,46145,264339,188196,70850,408772,
Democratic Republic of Congo,14929,51253,3.4331,89561404,35.879,17,3.02,1.745,808.133,318.949,6.1,4.472,0,60.68,0.457,0,0,0,0,97,474,2498,3969,2031,1027,562,647,1466,2158,0,
Denmark,120329,160048,1.3301,5792203,136.52,42.3,19.677,12.325,46682.515,114.767,6.41,0,2.5,80.9,0.929,23223,22622,0,2,3036,6317,2513,1099,1060,3382,11069,18384,34139,39328,45845,
Djibouti,5758,11604,2.0153,988002,41.285,25.4,4.213,2.38,2705.406,258.037,6.05,0,1.4,67.11,0.476,98,1411,0,0,29,1059,2265,1328,402,303,29,145,118,80,1509,
Dominica,87,0,0.0000,71991,98.567,0,0,0,9673.367,227.376,11.62,0,3.8,75,0.715,0,0,0,0,11,4,0,2,0,2,10,20,35,3,0,
Dominican Republic,156584,344172,2.1980,10847904,222.873,27.6,6.981,4.419,14600.861,266.653,8.2,55.182,1.6,74.08,0.736,13310,29908,0,0,1108,5863,10313,15283,37081,25066,17494,14809,16970,12597,43217,
Ecuador,203455,1853904,9.1121,17643060,66.939,28.1,7.104,4.458,10581.936,140.448,5.55,80.635,1.5,77.01,0.752,4069,25025,0,0,2234,22694,14164,17334,28923,28412,23280,31145,24493,10776,29094,
Egypt,123152,1028273,8.3496,102334403,97.999,25.3,5.159,2.891,10550.206,525.432,17.31,89.827,1.6,71.99,0.696,246,61699,0,0,709,4827,19448,43326,25767,4861,4259,4357,8356,7242,61945,
El Salvador,42396,133909,3.1585,6486201,307.811,27.6,8.273,5.417,7292.458,167.295,8.87,90.65,1.3,73.32,0.674,1060,7970,0,0,31,363,2122,3921,10194,9097,3348,4368,4960,3992,9030,
Equatorial Guinea,5194,14020,2.6993,1402985,45.194,22.4,2.846,1.752,22604.873,202.812,7.78,24.64,2.1,58.74,0.591,0,0,0,0,11,303,991,695,2820,120,89,58,65,42,0,
Eritrea,710,0,0.0000,3546427,44.304,19.3,3.607,2.171,1510.459,311.11,6.05,0,0.7,66.32,0.44,1,81,0,0,14,24,0,164,76,40,56,88,114,134,82,
Estonia,19270,17903,0.9291,1326539,31.033,42.7,19.452,13.491,29481.252,255.569,4.02,0,4.69,78.74,0.871,4721,7573,0,0,744,944,180,120,75,311,996,1534,7403,6963,12294,
Eswatini,7025,15256,2.1717,1160164,79.492,21.5,3.163,1.845,7738.975,333.436,3.94,24.097,2.1,60.19,0.588,119,1159,0,0,8,91,185,527,1836,1929,905,435,502,607,1279,
Ethiopia,118005,172085,1.4583,114963583,104.957,19.8,3.526,2.063,1729.927,182.634,7.47,7.96,0.3,66.6,0.463,472,10030,0,0,25,105,1041,4674,11684,34601,23237,20801,13905,7932,10502,
Fiji,45,251,5.5778,896444,49.562,28.6,6.224,3.284,8702.975,412.82,14.49,0,2.3,67.44,0.741,5,16,0,0,4,13,0,0,9,1,4,2,8,4,20,
Finland,31869,81119,2.5454,5540718,18.136,42.8,21.228,13.264,40585.721,153.507,5.76,0,3.28,81.91,0.92,5832,7202,0,2,1415,3577,1864,355,218,654,1906,6121,8799,6958,13034,
France,2465124,8350952,3.3876,65273512,122.578,42,19.718,13.079,38605.671,86.06,4.77,0,5.98,82.66,0.901,742002,877584,3,95,52178,116583,22114,13269,22995,93921,284733,808471,862510,188252,1619586,
Gabon,9372,10287,1.0976,2225728,7.859,23.1,4.45,2.976,16562.413,259.967,7.2,0,6.3,66.47,0.702,0,0,0,0,15,260,2379,2739,1958,1181,233,202,246,159,0,
